Date,Store_1044
2014-01-05,956.0
2014-01-12,2263.0
2014-01-19,2412.0
2014-01-26,2789.0
2014-02-02,2656.0
2014-02-09,3379.0
2014-02-16,3742.0
2014-02-23,2913.0
2014-03-02,2237.0
2014-03-09,3280.0
2014-03-16,2448.0
2014-03-23,3056.0
2014-03-30,3033.0
2014-04-06,3212.0
2014-04-13,3367.0
2014-04-20,2794.0
2014-04-27,3096.0
2014-05-04,3250.0
2014-05-11,3121.0
2014-05-18,3705.0
2014-05-25,2402.0
2014-06-01,2446.0
2014-06-08,3599.0
2014-06-15,2946.0
2014-06-22,3178.0
2014-06-29,2855.0
2014-07-06,2632.0
2014-07-13,3231.0
2014-07-20,3738.0
2014-07-27,2798.0
2014-08-03,3254.0
2014-08-10,3295.0
2014-08-17,3149.0
2014-08-24,2736.0
2014-08-31,3446.0
2014-09-07,2422.0
2014-09-14,4001.0
2014-09-21,2894.0
2014-09-28,3199.0
2014-10-05,2048.0
2014-10-12,3025.0
2014-10-19,2916.0
2014-10-26,3259.0
2014-11-02,3015.0
2014-11-09,2971.0
2014-11-16,3451.0
2014-11-23,3436.0
2014-11-30,3142.0
2014-12-07,2841.0
2014-12-14,3852.0
2014-12-21,4551.0
2014-12-28,2469.0
2015-01-04,2852.0
2015-01-11,2935.0
2015-01-18,3925.0
2015-01-25,3577.0
2015-02-01,3015.0
2015-02-08,3397.0
2015-02-15,3645.0
2015-02-22,3723.0
2015-03-01,3265.0
2015-03-08,4029.0
2015-03-15,3849.0
2015-03-22,3602.0
2015-03-29,2961.0
2015-04-05,3315.0
2015-04-12,4497.0
2015-04-19,3470.0
2015-04-26,2487.0
2015-05-03,3287.0
2015-05-10,3721.0
2015-05-17,3947.0
2015-05-24,3521.0
2015-05-31,2874.0
2015-06-07,3330.0
2015-06-14,4387.0
2015-06-21,3347.0
2015-06-28,3151.0
2015-07-05,3906.0
2015-07-12,3141.0
2015-07-19,3718.0
2015-07-26,3081.0
2015-08-02,3436.0
2015-08-09,3128.0
2015-08-16,4031.0
2015-08-23,3892.0
2015-08-30,3281.0
2015-09-06,1615.0
2015-09-13,3251.0
2015-09-20,3759.0
2015-09-27,3184.0
2015-10-04,3718.0
2015-10-11,3599.0
2015-10-18,3705.0
2015-10-25,3743.0
2015-11-01,3522.0
2015-11-08,3287.0
2015-11-15,4049.0
2015-11-22,3501.0
2015-11-29,4187.0
2015-12-06,2639.0
2015-12-13,3340.0
2015-12-20,4610.0
2015-12-27,2985.0
2016-01-03,2625.0
2016-01-10,1565.0
2016-01-17,3003.0
2016-01-24,3344.0
2016-01-31,3824.0
2016-02-07,2118.0
2016-02-14,1240.0
2016-02-21,4043.0
2016-02-28,3612.0
2016-03-06,3626.0
2016-03-13,583.0
2016-03-20,4234.0
2016-03-27,3543.0
2016-04-03,3538.0
2016-04-10,643.0
2016-04-17,3337.0
2016-04-24,3425.0
2016-05-01,3826.0
2016-05-08,1954.0
2016-05-15,1321.0
2016-05-22,4182.0
2016-05-29,3104.0
2016-06-05,4208.0
